Is Superhost,neighbourhood,Neighborhood Group,Latitude,Longitude,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Guests Included,Min Nights,Reviews,Instant Bookable,Business Travel Ready,Price
f,Karlshorst,Lichtenberg,52.4861,13.52592,Apartment,Private room,1,1.0,1.0,1.0,1,6,0,t,f,35.0
f,WeiÃensee,Pankow,52.5511,13.455170000000004,Apartment,Entire home/apt,4,1.0,0.0,2.0,1,14,2,t,f,50.0
t,NeukÃ¶lln,NeukÃ¶lln,52.47793000000001,13.44469,Apartment,Private room,2,1.0,1.0,2.0,1,3,20,f,f,19.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50624000000001,13.45066,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,21,3,f,f,40.0
f,Friedenau,Tempelhof - SchÃ¶neberg,52.46745,13.33923,Apartment,Shared room,2,1.0,1.0,1.0,1,1,10,f,f,40.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51834,13.42853,Apartment,Entire home/apt,2,1.0,1.0,2.0,2,4,69,f,f,81.0
f,Hansaviertel,Mitte,52.52053000000001,13.334929999999998,Apartment,Private room,4,1.0,1.0,2.0,2,3,16,t,f,30.0
f,Wedding,Mitte,52.54089000000001,13.34747,Apartment,Entire home/apt,4,1.0,1.0,4.0,1,4,36,f,f,70.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49551999999999,13.425679999999998,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,1,4,t,f,59.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48608,13.42603,Apartment,Private room,2,1.0,1.0,1.0,1,3,3,t,f,39.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49706,13.48321,Apartment,Private room,2,1.0,1.0,1.0,1,2,5,f,f,35.0
f,Charlottenburg,Charlottenburg-Wilm.,52.502869999999994,13.315320000000002,Apartment,Private room,2,1.0,1.0,1.0,1,7,0,f,f,100.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49036,13.39564,Apartment,Entire home/apt,4,1.5,2.0,2.0,2,4,16,f,f,69.0
f,Prenzlauer Berg,Pankow,52.54726,13.41555,Apartment,Entire home/apt,6,1.0,2.0,1.0,2,5,3,f,f,100.0
f,Wilmersdorf,Charlottenburg-Wilm.,52.49466999999999,13.30176,Apartment,Private room,2,1.0,1.0,2.0,1,3,5,f,f,18.0
f,Wedding,Mitte,52.55234,13.37216,Apartment,Private room,2,1.0,1.0,1.0,1,5,5,t,f,59.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49078000000001,13.419129999999996,Apartment,Private room,2,1.0,1.0,1.0,2,3,8,f,f,140.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51274,13.45579,Apartment,Private room,3,1.0,1.0,1.0,1,6,1,f,f,49.0
f,Steglitz,Steglitz - Zehlendorf,52.44683000000001,13.32564,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,6,25,f,f,75.0
f,Wedding,Mitte,52.55458,13.36615,Apartment,Entire home/apt,3,1.0,2.0,2.0,1,,0,f,f,52.0
f,Prenzlauer Berg,Pankow,52.52873000000001,13.436320000000002,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,4,2,t,f,42.0
f,Prenzlauer Berg,Pankow,52.53340999999999,13.42482,Apartment,Private room,2,1.0,1.0,1.0,1,2,0,f,f,45.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49605,13.43737,Apartment,Entire home/apt,10,2.0,3.0,8.0,5,4,32,f,f,125.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47641999999999,13.42217,Apartment,Private room,4,2.0,1.0,2.0,1,1,2,t,f,70.0
f,Baumschulenweg,Treptow - KÃ¶penick,52.46928000000001,13.47197,Bed and breakfast,Private room,1,1.0,1.0,1.0,1,1,26,t,f,10.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50456,13.46881,Apartment,Private room,2,1.0,1.0,1.0,1,2,1,f,f,40.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51691,13.47234,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,5,t,f,32.0
t,Friedrichshain,Friedrichshain-Kreuzberg,52.51931999999999,13.45496,Apartment,Private room,1,1.0,1.0,1.0,1,3,26,f,f,28.0
f,Wedding,Mitte,52.54471,13.365970000000004,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,3,0,f,f,38.0
f,Prenzlauer Berg,Pankow,52.53199000000001,13.43551,Apartment,Private room,3,1.0,1.0,2.0,1,2,4,f,f,21.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47379,13.426629999999998,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,7,0,t,f,47.0
f,Alt-HohenschÃ¶nhausen,Lichtenberg,52.53941999999999,13.58221,Apartment,Private room,3,1.0,1.0,2.0,1,1,2,f,f,29.0
f,Rummelsburg,Lichtenberg,52.50133000000001,13.48245,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,1,t,f,50.0
f,Mitte,Mitte,52.524980000000006,13.41105,Loft,Entire home/apt,2,1.0,1.0,1.0,2,3,1,f,f,150.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.50211999999999,13.352520000000002,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,1,29,f,f,50.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47373000000001,13.446870000000002,House,Entire home/apt,9,1.0,3.0,6.0,2,7,2,t,f,129.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50185,13.44001,Apartment,Private room,2,1.0,1.0,2.0,1,1,1,f,f,12.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.4874,13.38935,Apartment,Private room,2,1.0,2.0,1.0,1,2,0,f,f,31.0
f,Prenzlauer Berg,Pankow,52.54964,13.400429999999998,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,3,23,t,f,56.0
t,Lichterfelde,Steglitz - Zehlendorf,52.43411999999999,13.1214,Apartment,Entire home/apt,5,1.0,2.0,2.0,2,1,84,f,f,75.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47864000000001,13.44946,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,2,0,f,f,65.0
f,OberschÃ¶neweide,Treptow - KÃ¶penick,52.4775,13.56551,,Shared room,1,1.0,1.0,2.0,1,2,0,t,f,75.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.48203,13.3612,Apartment,Entire home/apt,1,1.0,1.0,1.0,1,3,170,t,f,67.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.46263,13.34696,Apartment,Private room,2,2.0,1.0,1.0,1,3,0,t,f,40.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.52019,13.45406,Apartment,Private room,2,1.0,1.0,1.0,1,7,2,f,f,30.0
f,Wedding,Mitte,52.55811,13.38867,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,3,1,t,f,25.0
f,Mitte,Mitte,52.53719,13.38855,Condominium,Entire home/apt,4,2.0,2.0,2.0,2,5,5,f,f,103.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49489000000001,13.39352,Apartment,Private room,2,1.5,1.0,2.0,1,6,6,f,f,30.0
f,Wedding,Mitte,52.52691,13.40585,Apartment,Private room,2,1.0,1.0,2.0,1,1,4,t,f,29.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50483000000001,13.46344,Apartment,Entire home/apt,4,1.0,2.0,2.0,3,2,9,t,f,115.0
f,Wedding,Mitte,52.54028,13.3723,Apartment,Private room,2,1.0,1.0,1.0,1,2,1,f,f,25.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50898000000001,13.45219,Apartment,Private room,2,1.0,1.0,1.0,1,3,0,f,f,38.0
f,Mitte,Mitte,52.52946,13.40318,Apartment,Entire home/apt,6,1.0,3.0,2.0,2,5,2,f,f,90.0
f,Britz,NeukÃ¶lln,52.43431,13.47709,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,1,1,f,f,21.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50834000000001,13.40199,Apartment,Private room,2,1.0,1.0,1.0,1,2,4,t,f,30.0
f,Prenzlauer Berg,Pankow,52.54469000000001,13.43466,Apartment,Private room,2,1.0,1.0,1.0,1,2,59,f,f,41.0
f,NeukÃ¶lln,NeukÃ¶lln,52.4851,13.42119,Apartment,Private room,1,1.0,1.0,1.0,1,2,2,f,f,15.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.4887,13.4125,Apartment,Private room,2,1.5,1.0,1.0,1,2,13,f,f,28.0
f,Mitte,Mitte,52.50605,13.41661,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,7,0,t,f,59.0
t,Kreuzberg,Friedrichshain-Kreuzberg,52.48984,13.39239,Apartment,Private room,5,1.0,1.0,5.0,2,3,74,f,f,40.0
f,NeukÃ¶lln,NeukÃ¶lln,52.46674,13.43554,Apartment,Private room,1,1.0,1.0,1.0,1,1,4,t,f,23.0
t,Lichtenberg,Lichtenberg,52.51994000000001,13.491270000000002,Apartment,Private room,2,1.0,1.0,1.0,1,1,45,f,f,25.0
f,NeukÃ¶lln,NeukÃ¶lln,52.4801,13.44687,Apartment,Private room,1,1.0,1.0,1.0,1,3,1,t,f,25.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.47536,13.33473,Apartment,Entire home/apt,3,1.0,1.0,1.0,3,2,4,f,f,60.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49319000000001,13.4009,Apartment,Private room,2,1.5,1.0,2.0,2,1,6,f,f,25.0
f,Grunewald,Charlottenburg-Wilm.,52.497319999999995,13.28803,Apartment,Private room,1,1.0,0.0,1.0,1,3,0,f,f,69.0
f,Prenzlauer Berg,Pankow,52.53249,13.42689,Apartment,Private room,2,1.0,1.0,1.0,1,2,7,f,f,20.0
t,Kreuzberg,Friedrichshain-Kreuzberg,52.49924,13.39546,Apartment,Entire home/apt,5,2.0,4.0,3.0,4,7,1,f,f,228.0
f,Pankow,Pankow,52.57117,13.394920000000004,Apartment,Private room,3,1.0,1.0,1.0,1,1,1,f,f,25.0
f,Mitte,Mitte,52.5364,13.40049,Apartment,Private room,2,1.0,1.0,1.0,2,2,11,f,f,65.0
f,Mitte,Mitte,52.52712,13.40235,Condominium,Entire home/apt,2,1.0,1.0,2.0,1,5,17,t,f,86.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51734,13.465,Apartment,Private room,1,1.0,1.0,1.0,1,,0,f,f,28.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.503069999999994,13.3969,Apartment,Private room,2,1.0,1.0,1.0,1,2,5,t,f,44.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48315,13.44,Loft,Entire home/apt,6,2.0,2.0,3.0,1,5,3,f,f,250.0
f,Wedding,Mitte,52.54167,13.3689,Apartment,Private room,2,1.0,1.0,1.0,1,6,13,t,f,39.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48641,13.4356,Apartment,Private room,1,1.0,1.0,1.0,1,5,20,f,f,25.0
t,Altglienicke,Treptow - KÃ¶penick,52.41326,13.52321,Townhouse,Private room,1,1.5,1.0,1.0,1,1,228,f,f,24.0
f,Moabit,Mitte,52.53031999999999,13.34254,Apartment,Private room,1,1.0,1.0,1.0,2,3,27,f,f,17.0
f,Westend,Charlottenburg-Wilm.,52.51688000000001,13.26362,Apartment,Private room,3,1.0,1.0,1.0,1,5,0,t,f,25.0
f,Prenzlauer Berg,Pankow,52.55371,13.42156,Apartment,Entire home/apt,4,1.0,2.0,3.0,1,1,1,t,f,70.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49159000000001,13.39121,Condominium,Private room,1,1.0,1.0,1.0,1,2,7,t,f,14.0
t,NeukÃ¶lln,NeukÃ¶lln,52.48605,13.42634,Apartment,Entire home/apt,4,2.0,2.0,2.0,1,3,227,f,f,69.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51991,13.46923,Apartment,Entire home/apt,4,1.0,1.0,2.0,2,3,3,f,f,49.0
t,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.49111,13.34937,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,3,58,f,f,120.0
f,Charlottenburg,Charlottenburg-Wilm.,52.50624000000001,13.303720000000002,Apartment,Entire home/apt,6,1.0,2.0,4.0,4,4,8,f,f,99.0
f,Lichtenberg,Lichtenberg,52.52885,13.47205,Apartment,Private room,2,1.0,1.0,2.0,1,4,16,f,f,25.0
t,Kreuzberg,Friedrichshain-Kreuzberg,52.48735,13.40324,Apartment,Private room,2,1.5,1.0,1.0,1,1,15,t,f,38.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.486230000000006,13.396579999999998,Apartment,Entire home/apt,4,1.0,2.0,2.0,1,9,3,t,f,120.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48038000000001,13.43744,Apartment,Private room,2,1.0,1.0,2.0,1,1,9,f,f,28.0
f,Wedding,Mitte,52.54876,13.38089,Apartment,Private room,2,1.0,1.0,2.0,1,5,16,f,f,14.0
f,Mariendorf,Tempelhof - SchÃ¶neberg,52.43566,13.3874,Apartment,Entire home/apt,6,1.0,2.0,6.0,1,2,0,t,f,145.0
f,WeiÃensee,Pankow,52.54894,13.455729999999996,Apartment,Private room,2,1.0,1.0,1.0,1,5,2,f,f,25.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50736,13.45301,Apartment,Private room,2,1.0,1.0,1.0,1,2,35,f,f,50.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.4959,13.42623,Apartment,Entire home/apt,4,1.0,1.0,2.0,2,4,3,t,f,190.0
f,Charlottenburg,Charlottenburg-Wilm.,52.50963,13.31875,Apartment,Entire home/apt,3,1.0,1.0,2.0,2,2,0,t,f,100.0
f,Prenzlauer Berg,Pankow,52.54018000000001,13.40261,Apartment,Private room,2,1.0,1.0,1.0,1,5,0,f,f,26.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51046999999999,13.45422,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,19,t,f,70.0
f,Charlottenburg,Charlottenburg-Wilm.,52.5121,13.2903,Condominium,Entire home/apt,2,1.0,0.0,1.0,1,1,0,f,f,120.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47958000000001,13.42928,Apartment,Private room,2,1.0,1.0,2.0,1,4,0,f,f,30.0
f,Rummelsburg,Lichtenberg,52.49209000000001,13.48776,Apartment,Private room,1,1.0,1.0,1.0,1,5,10,f,f,45.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49386,13.41558,Apartment,Private room,1,1.5,1.0,1.0,1,3,11,f,f,23.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49075,13.41454,Apartment,Entire home/apt,3,1.0,2.0,3.0,4,2,44,f,f,65.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.50861999999999,13.46681,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,3,2,t,f,60.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49023000000001,13.41702,Apartment,Entire home/apt,5,1.5,3.0,5.0,1,4,12,f,f,80.0
f,Wilmersdorf,Charlottenburg-Wilm.,52.46798000000001,13.309079999999998,Apartment,Private room,2,1.0,1.0,1.0,1,7,2,f,f,25.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48945,13.4292,Apartment,Entire home/apt,2,1.0,2.0,3.0,1,9,12,f,f,90.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48549000000001,13.44793,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,5,3,f,f,75.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.49866999999999,13.46333,Apartment,Entire home/apt,4,1.0,1.0,1.0,2,2,106,t,f,55.0
f,Prenzlauer Berg,Pankow,52.55096999999999,13.41107,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,4,1,f,f,80.0
f,Alt-Treptow,Treptow - KÃ¶penick,52.48966,13.4506,Apartment,Private room,2,1.0,1.0,2.0,1,1,21,f,f,53.0
f,Wedding,Mitte,52.55386,13.399479999999999,Apartment,Private room,2,1.0,0.0,1.0,1,1,0,f,f,39.0
f,Prenzlauer Berg,Pankow,52.53207,13.4068,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,2,137,f,f,58.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49725999999999,13.37686,Apartment,Private room,2,1.0,1.0,1.0,2,2,11,t,f,50.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49986,13.427679999999999,Apartment,Private room,2,1.5,1.0,1.0,1,2,11,f,f,38.0
f,Prenzlauer Berg,Pankow,52.55091,13.42332,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,1,0,f,f,39.0
f,Mitte,Mitte,52.51543,13.42434,Apartment,Entire home/apt,1,1.0,0.0,1.0,1,25,10,f,f,39.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50353000000001,13.4107,Apartment,Private room,2,1.0,1.0,1.0,1,2,2,t,f,54.0
f,Rummelsburg,Lichtenberg,52.50461,13.491079999999998,Condominium,Private room,1,1.0,1.0,1.0,1,1,8,f,f,35.0
t,Kreuzberg,Friedrichshain-Kreuzberg,52.49384000000001,13.41979,Apartment,Entire home/apt,4,1.5,1.0,4.0,1,2,63,f,f,85.0
f,Charlottenburg,Charlottenburg-Wilm.,52.51991,13.33056,Apartment,Private room,2,1.0,1.0,1.0,1,3,7,f,f,55.0
t,Prenzlauer Berg,Pankow,52.53884,13.41771,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,1,48,t,f,105.0
f,Prenzlauer Berg,Pankow,52.54276,13.42294,Apartment,Entire home/apt,4,2.0,2.0,2.0,4,3,19,t,f,150.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47706,13.43651,Apartment,Entire home/apt,4,1.0,2.0,2.0,2,1,128,t,f,47.0
f,Lichterfelde,Steglitz - Zehlendorf,52.44604,13.30624,Apartment,Private room,1,1.0,1.0,1.0,1,2,0,t,f,60.0
f,Prenzlauer Berg,Pankow,52.54209,13.41656,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,10,0,t,f,53.0
f,Tempelhof,Tempelhof - SchÃ¶neberg,52.45501999999999,13.41591,Apartment,Private room,2,1.0,1.0,1.0,1,5,2,f,f,30.0
f,Prenzlauer Berg,Pankow,52.5345,13.415129999999998,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,2,8,t,f,65.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.49984,13.4648,Apartment,Entire home/apt,3,1.0,1.0,1.0,2,1,14,f,f,70.0
f,Prenzlauer Berg,Pankow,52.54588,13.419620000000002,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,6,11,f,f,94.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49736,13.385279999999998,Apartment,Private room,2,1.0,1.0,1.0,1,5,3,t,f,46.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.48705999999999,13.37905,Apartment,Private room,1,1.0,1.0,1.0,1,4,1,f,f,450.0
t,Kreuzberg,Friedrichshain-Kreuzberg,52.49535,13.42383,Loft,Entire home/apt,2,1.0,1.0,1.0,1,10,66,f,f,50.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.51156,13.42871,Apartment,Entire home/apt,1,1.0,1.0,1.0,1,1,131,t,f,49.0
t,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.49249,13.36411,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,9,12,f,f,70.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.52029,13.45089,Apartment,Private room,3,1.0,1.0,1.0,2,1,4,f,f,100.0
f,Wedding,Mitte,52.542019999999994,13.3692,Apartment,Entire home/apt,2,1.5,1.0,1.0,2,1,13,f,f,126.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50356,13.436020000000005,Apartment,Private room,2,1.0,1.0,1.0,1,4,3,t,f,30.0
f,Marzahn,Marzahn - Hellersdorf,52.51999,13.52559,Serviced apartment,Entire home/apt,4,1.0,1.0,4.0,2,3,19,t,f,40.0
f,Mahlsdorf,Marzahn - Hellersdorf,52.53146999999999,13.63239,Apartment,Entire home/apt,6,1.0,2.0,5.0,2,1,18,t,f,80.0
f,Altglienicke,Treptow - KÃ¶penick,52.4197,13.55315,House,Private room,2,1.0,1.0,2.0,1,1,4,f,f,30.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50157,13.426420000000002,Apartment,Private room,2,1.0,1.0,1.0,1,1,2,f,f,42.0
f,Mitte,Mitte,52.52609,13.40087,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,0,f,f,79.0
f,Prenzlauer Berg,Pankow,52.55091,13.42089,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,2,64,t,f,65.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49506999999999,13.4287,Apartment,Private room,2,1.0,1.0,1.0,1,2,1,f,f,35.0
t,Prenzlauer Berg,Pankow,52.54784000000001,13.40238,Apartment,Entire home/apt,2,1.0,1.0,2.0,2,2,47,f,f,54.0
f,Prenzlauer Berg,Pankow,52.53813,13.40998,Apartment,Entire home/apt,3,1.5,1.0,2.0,1,2,1,f,f,45.0
t,Alt-Treptow,Treptow - KÃ¶penick,52.49092,13.45343,,Private room,2,1.0,1.0,1.0,1,1,15,f,f,30.0
f,Charlottenburg,Charlottenburg-Wilm.,52.52611999999999,13.3033,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,3,2,f,f,70.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.50185999999999,13.39995,Apartment,Private room,2,1.0,1.0,1.0,1,1,19,f,f,31.0
t,Mitte,Mitte,52.50949,13.42013,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,8,118,f,f,90.0
t,Prenzlauer Berg,Pankow,52.53083,13.43298,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,2,131,t,f,30.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48165,13.44218,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,,1,f,f,80.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47221999999999,13.42395,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,2,13,f,f,70.0
f,Prenzlauer Berg,Pankow,52.55166,13.40622,Apartment,Private room,1,1.0,1.0,1.0,1,,0,f,f,25.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47314,13.45194,Apartment,Private room,1,1.0,1.0,1.0,1,3,0,f,f,24.0
f,Rummelsburg,Lichtenberg,52.50822,13.50129,Apartment,Entire home/apt,4,1.0,2.0,2.0,1,6,8,f,f,70.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.52406,13.45049,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,3,0,f,f,93.0
f,Prenzlauer Berg,Pankow,52.53368000000001,13.43709,Apartment,Entire home/apt,2,1.0,1.0,2.0,2,2,21,f,f,44.0
f,NeukÃ¶lln,NeukÃ¶lln,52.48546,13.45164,Apartment,Private room,2,1.0,1.0,1.0,1,1,0,f,f,35.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.49944000000001,13.35073,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,3,8,f,f,40.0
f,Adlershof,Treptow - KÃ¶penick,52.44501999999999,13.55191,Guesthouse,Entire home/apt,2,1.0,0.0,1.0,2,3,39,t,f,85.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.48553000000001,13.39165,Apartment,Private room,1,1.0,1.0,1.0,1,10,0,t,f,45.0
f,Wedding,Mitte,52.54519000000001,13.34469,Apartment,Private room,2,2.0,1.0,1.0,1,1,0,t,f,40.0
f,Friedrichshain,Friedrichshain-Kreuzberg,52.49961999999999,13.458429999999998,Apartment,Private room,2,1.0,1.0,1.0,1,2,0,f,f,29.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.49475,13.34665,Apartment,Private room,1,1.0,1.0,1.0,1,7,1,f,f,21.0
f,SchÃ¶neberg,Tempelhof - SchÃ¶neberg,52.5021,13.34076,Apartment,Private room,2,1.0,1.0,1.0,1,2,18,f,f,20.0
f,Wedding,Mitte,52.55151,13.376029999999998,Apartment,Private room,2,1.0,1.0,1.0,1,2,1,f,f,30.0
f,NeukÃ¶lln,NeukÃ¶lln,52.47870999999999,13.42785,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,60,0,t,f,100.0
f,Prenzlauer Berg,Pankow,52.53915,13.42087,Apartment,Entire home/apt,5,1.0,3.0,3.0,3,7,3,f,f,80.0
f,Alt-HohenschÃ¶nhausen,Lichtenberg,52.51386,13.49017,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,5,0,t,f,65.0
t,Westend,Charlottenburg-Wilm.,52.4982,13.283970000000002,Apartment,Private room,2,1.0,1.0,1.0,1,2,45,f,f,30.0
t,NeukÃ¶lln,NeukÃ¶lln,52.48084,13.449579999999996,Apartment,Private room,1,1.0,1.0,1.0,1,10,10,t,f,32.0
f,Reinickendorf,Reinickendorf,52.56444000000001,13.347079999999998,Apartment,Entire home/apt,4,1.0,0.0,2.0,1,3,19,t,f,27.0
f,Kreuzberg,Friedrichshain-Kreuzberg,52.49131,13.39948,Apartment,Private room,1,1.0,1.0,1.0,1,3,1,f,f,30.0
